
### MAR — Política `SDDP` (média 1000 sims)

| Dia | FilaIni | AdmIn | w_proc | Proc | FilaFim | Spill | Ocioso | AdmOut | Custo |
| 27 | 0.0 | 2272 | 2465 | 2272 | 0.0 | 0.0 | 192.3 | 2272 | 8.41M |
| 28 | 0.0 | 2272 | 2476 | 2272 | 0.0 | 0.0 | 203.8 | 2272 | 8.91M |
| 29 | 0.0 | 2272 | 2481 | 2272 | 0.0 | 0.0 | 208.5 | 2272 | 9.12M |
| 30 | 0.0 | 2272 | 2489 | 2272 | 0.0 | 0.0 | 216.8 | 2272 | 9.49M |

### MAR — Política `P_0` (média 1000 sims)

| Dia | FilaIni | AdmIn | w_proc | Proc | FilaFim | Spill | Ocioso | AdmOut | Custo |
|----:|--------:|------:|-------:|-----:|--------:|------:|-------:|-------:|------:|
| 1 | 1200 | 3000 | 2476 | 2476 | 1724 | 524.0 | 0.0 | 2392 | 12.57M |
| 2 | 1724 | 2392 | 2492 | 2492 | 1624 | 423.9 | 0.0 | 2392 | 11.54M |
| 3 | 1624 | 2392 | 2493 | 2493 | 1523 | 322.5 | 0.0 | 2392 | 9.62M |
| 4 | 1523 | 2392 | 2485 | 2485 | 1429 | 229.3 | 0.0 | 2392 | 7.83M |
| 5 | 1429 | 2392 | 2478 | 2478 | 1343 | 142.8 | 0.0 | 2392 | 6.18M |
| 6 | 1343 | 2392 | 2479 | 2479 | 1256 | 56.1 | 0.0 | 2392 | 4.54M |
| 7 | 1256 | 2392 | 2495 | 2495 | 1153 | 0.0 | 0.0 | 2392 | 3.36M |
| 8 | 1153 | 2392 | 2468 | 2468 | 1076 | 0.0 | 0.0 | 2392 | 3.11M |
| 9 | 1076 | 2392 | 2477 | 2477 | 991.2 | 0.0 | 0.0 | 2392 | 2.88M |
| 10 | 991.2 | 2392 | 2497 | 2497 | 886.5 | 0.0 | 0.0 | 2392 | 2.62M |
| 11 | 886.5 | 2392 | 2478 | 2478 | 800.2 | 0.0 | 0.0 | 2392 | 2.35M |
| 12 | 800.2 | 2392 | 2490 | 2490 | 701.7 | 0.0 | 0.0 | 2392 | 2.10M |
| 13 | 701.7 | 2392 | 2486 | 2486 | 607.1 | 0.0 | 0.0 | 2392 | 1.83M |
| 14 | 607.1 | 2392 | 2474 | 2474 | 525.1 | 0.0 | 0.0 | 2392 | 1.58M |
| 15 | 525.1 | 2392 | 2481 | 2481 | 436.1 | 0.0 | 0.0 | 2392 | 1.34M |
| 16 | 436.1 | 2392 | 2476 | 2476 | 352.1 | 0.0 | 0.0 | 2392 | 1.10M |
| 17 | 352.1 | 2392 | 2475 | 2475 | 268.5 | 0.0 | 0.0 | 2392 | 865769 |
| 18 | 268.5 | 2392 | 2464 | 2464 | 196.1 | 0.0 | 0.0 | 2392 | 648191 |
| 19 | 196.1 | 2392 | 2477 | 2477 | 111.3 | 0.0 | 0.0 | 2392 | 428804 |
| 20 | 111.3 | 2392 | 2494 | 2494 | 9.5 | 0.0 | 0.0 | 2392 | 168518 |
| 21 | 9.5 | 2392 | 2486 | 2401 | 0.0 | 0.0 | 85.0 | 2392 | 3.73M |
| 22 | 0.0 | 2392 | 2469 | 2392 | 0.0 | 0.0 | 77.4 | 2392 | 3.39M |
| 23 | 0.0 | 2392 | 2490 | 2392 | 0.0 | 0.0 | 97.9 | 2392 | 4.28M |
| 24 | 0.0 | 2392 | 2481 | 2392 | 0.0 | 0.0 | 88.9 | 2392 | 3.89M |
| 25 | 0.0 | 2392 | 2458 | 2392 | 0.0 | 0.0 | 66.0 | 2392 | 2.89M |
| 26 | 0.0 | 2392 | 2479 | 2392 | 0.0 | 0.0 | 86.7 | 2392 | 3.79M |
| 27 | 0.0 | 2392 | 2465 | 2392 | 0.0 | 0.0 | 72.7 | 2392 | 3.18M |
| 28 | 0.0 | 2392 | 2476 | 2392 | 0.0 | 0.0 | 84.2 | 2392 | 3.68M |
| 29 | 0.0 | 2392 | 2481 | 2392 | 0.0 | 0.0 | 88.9 | 2392 | 3.89M |
| 30 | 0.0 | 2392 | 2489 | 2392 | 0.0 | 0.0 | 97.2 | 2392 | 4.25M |

### MAR — Política `P_+5` (média 1000 sims)

| Dia | FilaIni | AdmIn | w_proc | Proc | FilaFim | Spill | Ocioso | AdmOut | Custo |
|----:|--------:|------:|-------:|-----:|--------:|------:|-------:|-------:|------:|
| 1 | 1200 | 3000 | 2476 | 2476 | 1724 | 524.0 | 0.0 | 2512 | 12.57M |
| 2 | 1724 | 2512 | 2492 | 2492 | 1743 | 543.5 | 0.0 | 2512 | 13.65M |
| 3 | 1743 | 2512 | 2493 | 2493 | 1762 | 561.7 | 0.0 | 2512 | 14.00M |
| 4 | 1762 | 2512 | 2485 | 2485 | 1788 | 588.0 | 0.0 | 2512 | 14.48M |
| 5 | 1788 | 2512 | 2478 | 2478 | 1821 | 621.2 | 0.0 | 2512 | 15.10M |
| 6 | 1821 | 2512 | 2479 | 2479 | 1854 | 654.1 | 0.0 | 2512 | 15.73M |
| 7 | 1854 | 2512 | 2495 | 2495 | 1870 | 670.3 | 0.0 | 2512 | 16.06M |
| 8 | 1870 | 2512 | 2468 | 2468 | 1913 | 713.4 | 0.0 | 2512 | 16.84M |
| 9 | 1913 | 2512 | 2477 | 2477 | 1948 | 748.0 | 0.0 | 2512 | 17.51M |
| 10 | 1948 | 2512 | 2497 | 2497 | 1963 | 762.9 | 0.0 | 2512 | 17.82M |
| 11 | 1963 | 2512 | 2478 | 2478 | 1996 | 796.1 | 0.0 | 2512 | 18.43M |
| 12 | 1996 | 2512 | 2490 | 2490 | 2017 | 817.3 | 0.0 | 2512 | 18.85M |
| 13 | 2017 | 2512 | 2486 | 2486 | 2042 | 842.3 | 0.0 | 2512 | 19.32M |
| 14 | 2042 | 2512 | 2474 | 2474 | 2080 | 879.8 | 0.0 | 2512 | 20.01M |
| 15 | 2080 | 2512 | 2481 | 2481 | 2110 | 910.5 | 0.0 | 2512 | 20.60M |
| 16 | 2110 | 2512 | 2476 | 2476 | 2146 | 946.0 | 0.0 | 2512 | 21.27M |
| 17 | 2146 | 2512 | 2475 | 2475 | 2182 | 982.1 | 0.0 | 2512 | 21.96M |
| 18 | 2182 | 2512 | 2464 | 2464 | 2229 | 1029 | 0.0 | 2512 | 22.84M |
| 19 | 2229 | 2512 | 2477 | 2477 | 2264 | 1064 | 0.0 | 2512 | 23.52M |
| 20 | 2264 | 2512 | 2494 | 2494 | 2282 | 1082 | 0.0 | 2512 | 23.88M |
| 21 | 2282 | 2512 | 2486 | 2486 | 2307 | 1107 | 0.0 | 2512 | 24.35M |
| 22 | 2307 | 2512 | 2469 | 2469 | 2349 | 1149 | 0.0 | 2512 | 25.12M |
| 23 | 2349 | 2512 | 2490 | 2490 | 2371 | 1171 | 0.0 | 2512 | 25.56M |
| 24 | 2371 | 2512 | 2481 | 2481 | 2402 | 1202 | 0.0 | 2512 | 26.14M |
| 25 | 2402 | 2512 | 2458 | 2458 | 2455 | 1255 | 0.0 | 2512 | 27.12M |
| 26 | 2455 | 2512 | 2479 | 2479 | 2488 | 1288 | 0.0 | 2512 | 27.78M |
| 27 | 2488 | 2512 | 2465 | 2465 | 2535 | 1335 | 0.0 | 2512 | 28.65M |
| 28 | 2535 | 2512 | 2476 | 2476 | 2570 | 1370 | 0.0 | 2512 | 29.34M |
| 29 | 2570 | 2512 | 2481 | 2481 | 2601 | 1401 | 0.0 | 2512 | 29.93M |
| 30 | 2601 | 2512 | 2489 | 2489 | 2623 | 1423 | 0.0 | 2512 | 30.36M |

### MAR — Política `P_+10` (média 1000 sims)

| Dia | FilaIni | AdmIn | w_proc | Proc | FilaFim | Spill | Ocioso | AdmOut | Custo |
|----:|--------:|------:|-------:|-----:|--------:|------:|-------:|-------:|------:|
| 1 | 1200 | 3000 | 2476 | 2476 | 1724 | 524.0 | 0.0 | 2631 | 12.57M |
| 2 | 1724 | 2631 | 2492 | 2492 | 1863 | 663.0 | 0.0 | 2631 | 15.75M |
| 3 | 1863 | 2631 | 2493 | 2493 | 2001 | 800.9 | 0.0 | 2631 | 18.37M |
| 4 | 2001 | 2631 | 2485 | 2485 | 2147 | 946.8 | 0.0 | 2631 | 21.14M |
| 5 | 2147 | 2631 | 2478 | 2478 | 2300 | 1100 | 0.0 | 2631 | 24.03M |
| 6 | 2300 | 2631 | 2479 | 2479 | 2452 | 1252 | 0.0 | 2631 | 26.93M |
| 7 | 2452 | 2631 | 2495 | 2495 | 2588 | 1388 | 0.0 | 2631 | 29.53M |
| 8 | 2588 | 2631 | 2468 | 2468 | 2751 | 1551 | 0.0 | 2631 | 32.58M |
